title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
En defensa de la renta básica,"Julen Bollain Urbieta, Daniel Raventós Pañella, Jordi Arcarons Bullich, Lluís Torrens Mèlich",https://bookwyrm.social/book/1405307,,,,,,,,,,,,8423435520,9788423435524.0,,2024-10-28,2024-12-31,,3.0,No apto para todos los públicos,,"El libro hace exactamente lo que promete: una primera mitad (o tercio) en la que explica cómo es la renta básica que defienden los autores, qué ventajas supone, y otra mitad en la que se justifica exhaustivamente cómo financiarla. Para ello, los autores utilizan distintas fuentes de datos, escenarios... y con numerosas notas al pie de página y referencias. Sinceramente, eso es lo que buscaba en este libro. Lamentablemente, el lenguaje utilizado resulta complejo y farragoso en no pocas ocasiones, y para aquellos que somos ajenos al ámbito de la economía política (o en economía, en general) cuesta de entender ya que resulta fácil olvidar a qué se refieren algunos conceptos o acrónimos o se asume cierta familiariadad con los indicadores utilizados, o se desarrollan con exceso cosas que, en mi opinión, tendrían que haber sido anexos, para centrarse en las conclusiones de los resultados.
Es también un libro difícil de situar: en ocasiones es más próximo a una publicación académica, pero en el que se hacen determinadas afirmaciones que no tendrían cabida por no estar suficientemente justificada. Todo ello hace que al acabarlo solo tenga claras algunas nociones muy básicas (sí, la renta básica es posible), sin ser capaz de resumir los principales hallazgos. Por otra parte, en numerosas ocasiones me hubiese gustado conversar con los autores sobre determinadas decisiones (por ejemplo: la decisión de no pagar a miembros de la iglesia me parece contraria a la universalidad de la renta que dicen defender, o el hecho de que únicamente se calculen escenarios estáticos). 
Por estas sensaciones agridulces, es por lo que propongo un 3.",2025-01-03,read,Read,2024-12-31,456.0,es
En el principio... fue la línea de comandos,Neal Stephenson,https://bookwyrm.social/book/43425,OL26318881M,,,,,,,,,,,,,806408943.0,,2013-01-01,,4.0,,,,,read,Read,2017-05-09,368.0,es
En llamas,Suzanne Collins,https://bookwyrm.social/book/17722,OL25427706M,,,,,,,,,,,842720213X,9788427202139.0,881192384.0,,2012-01-01,,4.0,,,,,read,Read,2017-05-09,407.0,es
Españistán : este país se va a la mierda / Alex Saló,Aleix Saló,https://bookwyrm.social/book/428966,OL25440416M,,,,,,,,,,,8499471757,9788499471754.0,,,2010-11-06,,4.0,,,,,read,Read,2023-11-06,144,es
Exhalation,Ted Chiang,https://bookwyrm.social/book/37946,OL27258053M,,,,,,,,,,,1529014484,9781529014488.0,,2025-08-10,2025-10-04,,3.0,,,,,read,Read,2025-10-04,368.0,en
Fahrenheit 451,Ray Bradbury,https://bookwyrm.social/book/5076,OL26437046M,,isbn:9780007491568,,,,,,,,,7491565,9780007491568.0,876238933.0,,,,2.0,,,,,read,Read,2017-05-09,,en
Fariña : historia e indiscreciones del narcotráfico en Galicia,Nacho Carretero,https://bookwyrm.social/book/180298,OL26479185M,,isbn:9788416001460,,,,,,,,,8416001464,9788416001460.0,,,2018-10-03,,3.0,,,,,read,Read,2018-10-02,,es
Feminismes,,https://bookwyrm.social/book/345415,,,isbn:9788416828234,,,,,,,,,8416828237,9788416828234.0,,2018-01-03,2018-06-02,,,,,,,read,Read,2018-01-03,,ca
Feminist City,Leslie Kern,https://bookwyrm.social/book/105378,OL28317827M,,,,,,,,,,,1788739817,9781788739818.0,,2021-05-16,2021-10-10,,3.0,Good introductory book to a gender-based look about cities,,"<p>Admittedly, it is not what I expected. After reading the title, author's bio and summary, I thought this would be an essential book to build a theoretical framework about urban studies with a gendered approach, which is what I was looking for. Instead, it is a very personal book in which the author shares her lived experiences around feminism and cities (that relationship is not always so clear).</p>
<p>Being said that, I have enjoyed reading it. The book is well written, the stories are interesting and very illustrative and the text is full of bibliographical references for those who want to know more. This combination makes it a very good introductory book for those (like me) who want to start learning about urban studies with a gendered perspective.</p>",2021-10-10,read,Read,2023-11-01,,en
Festín de cuervos,George R. R. Martin,https://bookwyrm.social/book/147960,OL25662728M,,,,,,,,,,,8496208990,9788496208995.0,,,2013-01-01,,3.0,,,,,read,Read,2017-05-09,,es
Filosofía para bufones,Pedro González Calero,https://bookwyrm.social/book/345393,,,isbn:9788408005223,,,,,,,,,8408005227,9788408005223.0,,2008-05-10,2008-12-31,,3.0,,,,,read,Read,2017-11-04,,es
Five at the Office Christmas Party,Bruno Vincent,https://bookwyrm.social/book/180284,OL29344246M,,,,,,,,,,,1786487675,9781786487674.0,,2019-10-04,2019-10-08,,3.0,,,,,read,Read,2019-10-04,,en
Forjada en cobre,,https://bookwyrm.social/book/180361,OL26796380M,,,,,,,,,,,8499082556,9788499082554.0,,,,,,,,,,read,Read,2017-11-03,,es
Foucault En 90 Minutos,Paul Strathern,https://bookwyrm.social/book/180333,OL13234679M,,,,,,,,,,,8432311030,9788432311031.0,,,,,,,,,,read,Read,2017-11-04,,es
Free as in freedom,Sam Williams,https://bookwyrm.social/book/180399,OL7580976M,,,,,,,,,,,596002874,9780596002879.0,49044520.0,,,,,,,,,to-read,To Read,2015-02-24,,en
Free Culture,Lawrence Lessig,https://bookwyrm.social/book/10988,OL3691799M,,,,,,,,,,,1594200068,9781594200069.0,58799050.0,,2013-12-31,,3.0,,,,,read,Read,2017-11-05,345.0,en
